timestamp,agent.name,rule.description,rule.level,rule.id
"Apr 9, 2025 @ 10:58:44.920","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.917","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.916","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.915","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:42.955","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:42.954","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:42.954","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:42.954","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:42.954","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:42.954","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:42.912","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.933","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.930","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.928","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.926","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.923","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.921","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.919","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.917","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.914","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.913","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.911","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.909","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:40.908","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:38.914","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:38.912","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:38.910","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:38.908","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:38.906","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:38.905","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.967","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.965","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.963","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.961","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.959","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.957","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.955","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.953","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:36.951","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:36.949","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:36.946","agente-ubuntu","PAM: Multiple failed logins in a small period of time.","10","5551"
"Apr 9, 2025 @ 10:58:36.944","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:36.942","agente-ubuntu","PAM: User login failed.","5","5503"
"Apr 9, 2025 @ 10:58:36.938","agente-ubuntu","syslog: User missed the password more than one time","10","2502"
